,0
0,0j
1,(59.254057983341134+0j)
2,(83.37787685294622+0j)
3,(92.5278904415969+0j)
4,(94.82846895890233+0j)
5,(96.2876613047328+0j)
6,(96.80647883751745+0j)
7,(97.12913693239418+0j)
8,(97.44381358595763+0j)
9,(97.70689311860295+0j)
10,(97.93819977689179+0j)
11,(98.15573435524085+0j)
12,(98.36301635052207+0j)
13,(98.53210012000115+0j)
14,(98.65769078218979+0j)
15,(98.77804418401499+0j)
16,(98.89213628564039+0j)
17,(99.00325169739088+0j)
18,(99.09570984521977+0j)
19,(99.18621303558618+0j)
20,(99.27235773626813+0j)
21,(99.34624453950835+0j)
22,(99.41864039000515+0j)
23,(99.48484145435339+0j)
24,(99.54211183767997+0j)
25,(99.59794617887977+0j)
26,(99.64838229916602+0j)
27,(99.69740430139338+0j)
28,(99.74349977768851+0j)
29,(99.78291293065185+0j)
30,(99.81967956782177+0j)
31,(99.84934089577617+0j)
32,(99.86566145727568+0j)
33,(99.88164542779778+0j)
34,(99.89377254555352+0j)
35,(99.90540270548593+0j)
36,(99.91592869589309+0j)
37,(99.92518773033736+0j)
38,(99.93320544676538+0j)
39,(99.93913134524229+0j)
40,(99.94462925250983+0j)
41,(99.949322303193+0j)
42,(99.95387794532132+0j)
43,(99.95766290731555+0j)
44,(99.96125922119984+0j)
45,(99.96430454163855+0j)
46,(99.96691173271084+0j)
47,(99.96931711035656+0j)
48,(99.97138502280214+0j)
49,(99.97334563903325+0j)
50,(99.9752369262973+0j)
51,(99.9770805973918+0j)
52,(99.97878836440528+0j)
53,(99.98026481284691+0j)
54,(99.98165801508958+0j)
55,(99.98293937326113+0j)
56,(99.98418635077665+0j)
57,(99.98533131262033+0j)
58,(99.98645140699837+0j)
59,(99.98750585374113+0j)
60,(99.9885150951597+0j)
61,(99.98943804349904+0j)
62,(99.99033536308738+0j)
63,(99.99115330636567+0j)
64,(99.99191606498283+0j)
65,(99.99254221782029+0j)
66,(99.99315434913052+0j)
67,(99.99375028102507+0j)
68,(99.99429720454249+0j)
69,(99.99475614925842+0j)
70,(99.99518902688466+0j)
71,(99.99556318498892+0j)
72,(99.9959265493005+0j)
73,(99.99626918164381+0j)
74,(99.99654238919513+0j)
75,(99.99679630278423+0j)
76,(99.99701422451604+0j)
77,(99.99720897492739+0j)
78,(99.9973928933054+0j)
79,(99.99756642063896+0j)
80,(99.9977213594084+0j)
81,(99.99786408651833+0j)
82,(99.99799234955294+0j)
83,(99.99811472677165+0j)
84,(99.99823526841575+0j)
85,(99.99834697093185+0j)
86,(99.9984557596983+0j)
87,(99.99854838363417+0j)
88,(99.99863191755767+0j)
89,(99.99870837793411+0j)
90,(99.99878245621477+0j)
91,(99.99885005904531+0j)
92,(99.99890896056691+0j)
93,(99.99896129761105+0j)
94,(99.99901129437347+0j)
95,(99.9990602537622+0j)
96,(99.99910499375665+0j)
97,(99.99914889380531+0j)
98,(99.99919038203464+0j)
99,(99.9992285657702+0j)
100,(99.99926517653155+0j)
101,(99.99929882389898+0j)
102,(99.99933088238097+0j)
103,(99.99936155246881+0j)
104,(99.9993901403737+0j)
105,(99.99941726373704+0j)
106,(99.99944295982509+0j)
107,(99.99946813640639+0j)
108,(99.99949220014307+0j)
109,(99.99951550841327+0j)
110,(99.99953780386355+0j)
111,(99.99955849135073+0j)
112,(99.99957887307555+0j)
113,(99.99959801066231+0j)
114,(99.99961581301453+0j)
115,(99.9996329415501+0j)
116,(99.9996493988974+0j)
117,(99.99966540329723+0j)
118,(99.99968119080854+0j)
119,(99.9996962321832+0j)
120,(99.99971073052488+0j)
121,(99.99972495117014+0j)
122,(99.99973849514845+0j)
123,(99.99975127755707+0j)
124,(99.99976371756168+0j)
125,(99.99977509753072+0j)
126,(99.9997860453875+0j)
127,(99.99979668139837+0j)
128,(99.99980712762644+0j)
129,(99.99981733635163+0j)
130,(99.99982691848324+0j)
131,(99.99983602173826+0j)
132,(99.99984490754122+0j)
133,(99.99985326499247+0j)
134,(99.99986139810858+0j)
135,(99.99986927377454+0j)
136,(99.99987706279354+0j)
137,(99.99988456791728+0j)
138,(99.99989160654707+0j)
139,(99.99989828370302+0j)
140,(99.99990473635249+0j)
141,(99.99991077825601+0j)
142,(99.99991646168212+0j)
143,(99.9999217818613+0j)
144,(99.99992674992981+0j)
145,(99.9999317459329+0j)
146,(99.99993648800806+0j)
147,(99.99994080460496+0j)
148,(99.99994475893084+0j)
149,(99.99994844460481+0j)
150,(99.99995174663891+0j)
151,(99.99995464666081+0j)
152,(99.99995721807473+0j)
153,(99.99995962717755+0j)
154,(99.99996183736052+0j)
155,(99.99996401844939+0j)
156,(99.99996610560976+0j)
157,(99.99996809380859+0j)
158,(99.99996999492734+0j)
159,(99.99997185888884+0j)
160,(99.99997364139902+0j)
161,(99.99997527384137+0j)
162,(99.99997683416153+0j)
163,(99.99997836289066+0j)
164,(99.99997978244991+0j)
165,(99.99998114472484+0j)
166,(99.99998245960329+0j)
167,(99.99998350108774+0j)
168,(99.99998451968142+0j)
169,(99.99998543626657+0j)
170,(99.99998631992788+0j)
171,(99.99998717919702+0j)
172,(99.99998797124803+0j)
173,(99.99998872497792+0j)
174,(99.99998943263871+0j)
175,(99.99999012556613+0j)
176,(99.99999071860964+0j)
177,(99.99999122962332+0j)
178,(99.99999170026608+0j)
179,(99.9999921535689+0j)
180,(99.99999256437084+0j)
181,(99.9999929715061+0j)
182,(99.99999334407705+0j)
183,(99.99999370990602+0j)
184,(99.99999403643028+0j)
185,(99.99999435164558+0j)
186,(99.99999465415908+0j)
187,(99.9999949462029+0j)
188,(99.99999521823675+0j)
189,(99.99999546872483+0j)
190,(99.99999571536004+0j)
191,(99.99999595221418+0j)
192,(99.99999616737826+0j)
193,(99.99999637997465+0j)
194,(99.99999658372009+0j)
195,(99.9999967861893+0j)
196,(99.9999969695705+0j)
197,(99.99999714422917+0j)
198,(99.99999731202793+0j)
199,(99.99999746669614+0j)
200,(99.9999976138339+0j)
201,(99.99999775582572+0j)
202,(99.999997881799+0j)
203,(99.99999800668104+0j)
204,(99.9999981273849+0j)
205,(99.99999824623242+0j)
206,(99.9999983417263+0j)
207,(99.99999843606962+0j)
208,(99.9999985280597+0j)
209,(99.99999860612209+0j)
