,0
0,0j
1,(59.254057983341134+0j)
2,(24.12381886960508+0j)
3,(9.150013588650678+0j)
4,(2.300578517305433+0j)
5,(1.4591923458304523+0j)
6,(0.5188175327846483+0j)
7,(0.3226580948767245+0j)
8,(0.31467665356345625+0j)
9,(0.2630795326453148+0j)
10,(0.23130665828884445+0j)
11,(0.21753457834906123+0j)
12,(0.20728199528122151+0j)
13,(0.16908376947907747+0j)
14,(0.12559066218864265+0j)
15,(0.12035340182520546+0j)
16,(0.11409210162539715+0j)
17,(0.11111541175048846+0j)
18,(0.09245814782889011+0j)
19,(0.09050319036640832+0j)
20,(0.08614470068195867+0j)
21,(0.07388680324021081+0j)
22,(0.0723958504968108+0j)
23,(0.06620106434824127+0j)
24,(0.05727038332657753+0j)
25,(0.055834341199802975+0j)
26,(0.050436120286243016+0j)
27,(0.04902200222735934+0j)
28,(0.046095476295138126+0j)
29,(0.03941315296332824+0j)
30,(0.03676663716991685+0j)
31,(0.029661327954401368+0j)
32,(0.01632056149951347+0j)
33,(0.015983970522101116+0j)
34,(0.01212711775574301+0j)
35,(0.011630159932412195+0j)
36,(0.010525990407164041+0j)
37,(0.00925903444426966+0j)
38,(0.00801771642803443+0j)
39,(0.005925898476898385+0j)
40,(0.005497907267534181+0j)
41,(0.004693050683174995+0j)
42,(0.0045556421283269675+0j)
43,(0.003784961994226813+0j)
44,(0.0035963138842883286+0j)
45,(0.003045320438708702+0j)
46,(0.0026071910722893833+0j)
47,(0.002405377645710695+0j)
48,(0.002067912445579953+0j)
49,(0.001960616231115536+0j)
50,(0.0018912872640458314+0j)
51,(0.0018436710945061699+0j)
52,(0.0017077670134706471+0j)
53,(0.0014764484416320924+0j)
54,(0.0013932022426624033+0j)
55,(0.001281358171548347+0j)
56,(0.0012469775155239666+0j)
57,(0.0011449618436806157+0j)
58,(0.0011200943780348778+0j)
59,(0.0010544467427527039+0j)
60,(0.0010092414185767862+0j)
61,(0.0009229483393312941+0j)
62,(0.0008973195883404356+0j)
63,(0.0008179432782894718+0j)
64,(0.0007627586171613895+0j)
65,(0.0006261528374556127+0j)
66,(0.0006121313102273236+0j)
67,(0.0005959318945533052+0j)
68,(0.0005469235174251623+0j)
69,(0.000458944715924539+0j)
70,(0.00043287762623273827+0j)
71,(0.000374158104259069+0j)
72,(0.0003633643115856144+0j)
73,(0.0003426323433083505+0j)
74,(0.00027320755131224274+0j)
75,(0.00025391358910484247+0j)
76,(0.00021792173180078484+0j)
77,(0.0001947504113584772+0j)
78,(0.00018391837801512784+0j)
79,(0.0001735273335588225+0j)
80,(0.0001549387694341403+0j)
81,(0.00014272710992892706+0j)
82,(0.0001282630346082828+0j)
83,(0.00012237721870004433+0j)
84,(0.00012054164410627306+0j)
85,(0.00011170251609416623+0j)
86,(0.00010878876644780238+0j)
87,(9.262393586630428e-05+0j)
88,(8.353392349669616e-05+0j)
89,(7.64603764358711e-05+0j)
90,(7.407828065627721e-05+0j)
91,(6.760283053932175e-05+0j)
92,(5.8901521604712206e-05+0j)
93,(5.233704413945545e-05+0j)
94,(4.9996762434069865e-05+0j)
95,(4.895938872586795e-05+0j)
96,(4.473999444358519e-05+0j)
97,(4.390004866049346e-05+0j)
98,(4.148822933191621e-05+0j)
99,(3.818373555110656e-05+0j)
100,(3.661076135470693e-05+0j)
101,(3.364736742635204e-05+0j)
102,(3.205848199740025e-05+0j)
103,(3.0670087844555167e-05+0j)
104,(2.8587904899862875e-05+0j)
105,(2.7123363342658624e-05+0j)
106,(2.569608803868325e-05+0j)
107,(2.5176581301266394e-05+0j)
108,(2.406373668069597e-05+0j)
109,(2.330827020720757e-05+0j)
110,(2.2295450276985476e-05+0j)
111,(2.068748717727523e-05+0j)
112,(2.0381724825687026e-05+0j)
113,(1.9137586768306845e-05+0j)
114,(1.7802352217693095e-05+0j)
115,(1.7128535578135677e-05+0j)
116,(1.6457347297439825e-05+0j)
117,(1.6004399827596376e-05+0j)
118,(1.578751132058166e-05+0j)
119,(1.5041374656784435e-05+0j)
120,(1.4498341685559975e-05+0j)
121,(1.4220645261951357e-05+0j)
122,(1.3543978314279206e-05+0j)
123,(1.2782408614984268e-05+0j)
124,(1.244000460741834e-05+0j)
125,(1.1379969041041736e-05+0j)
126,(1.0947856781938959e-05+0j)
127,(1.0636010876394115e-05+0j)
128,(1.0446228070740992e-05+0j)
129,(1.0208725191027976e-05+0j)
130,(9.582131611869812e-06+0j)
131,(9.103255017802105e-06+0j)
132,(8.885802953641074e-06+0j)
133,(8.35745124524057e-06+0j)
134,(8.13311610587722e-06+0j)
135,(7.87566595452019e-06+0j)
136,(7.789019010583212e-06+0j)
137,(7.505123729185959e-06+0j)
138,(7.038629784526779e-06+0j)
139,(6.677155955279772e-06+0j)
140,(6.452649477990238e-06+0j)
141,(6.041903513341681e-06+0j)
142,(5.683426103740417e-06+0j)
143,(5.3201791828867744e-06+0j)
144,(4.968068505495936e-06+0j)
145,(4.996003083880766e-06+0j)
146,(4.7420751691703535e-06+0j)
147,(4.316596905022374e-06+0j)
148,(3.954325875603652e-06+0j)
149,(3.6856739730634687e-06+0j)
150,(3.302034106213389e-06+0j)
151,(2.9000219022236178e-06+0j)
152,(2.571413909171462e-06+0j)
153,(2.4091028172654558e-06+0j)
154,(2.210182970882008e-06+0j)
155,(2.181088880094721e-06+0j)
156,(2.0871603661891985e-06+0j)
157,(1.9881988287420477e-06+0j)
158,(1.9011187557776383e-06+0j)
159,(1.8639615045120085e-06+0j)
160,(1.7825101891250668e-06+0j)
161,(1.6324423523414097e-06+0j)
162,(1.560320158200892e-06+0j)
163,(1.5287291280359892e-06+0j)
164,(1.419559260325759e-06+0j)
165,(1.3622749306019505e-06+0j)
166,(1.314878444695618e-06+0j)
167,(1.041484447101971e-06+0j)
168,(1.0185936777905783e-06+0j)
169,(9.16585157364493e-07+0j)
170,(8.836613094563293e-07+0j)
171,(8.592691313740474e-07+0j)
172,(7.920510124910318e-07+0j)
173,(7.537298993663637e-07+0j)
174,(7.07660788700187e-07+0j)
175,(6.929274196507647e-07+0j)
176,(5.930435132433252e-07+0j)
177,(5.110136753601094e-07+0j)
178,(4.7064275349701423e-07+0j)
179,(4.533028152710741e-07+0j)
